Date,High,Low,Open,Close,Volume,Adj Close
2019-05-08,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,0.0,14.075477600097656
2019-05-09,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,0.0,14.075477600097656
2019-05-10,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,0.0,14.075477600097656
2019-05-13,15.0,14.149999618530273,14.149999618530273,15.0,300.0,14.97391128540039
2019-05-14,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-05-15,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-05-16,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-05-17,15.25,15.25,15.25,15.25,200.0,15.22347640991211
2019-05-20,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,100.0,14.983894348144531
2019-05-21,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,0.0,14.983894348144531
2019-05-22,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,0.0,14.983894348144531
2019-05-23,15.010000228881836,15.010000228881836,15.010000228881836,15.010000228881836,40000.0,14.983894348144531
2019-05-24,15.0,15.0,15.0,15.0,1400.0,14.97391128540039
2019-05-28,15.0,15.0,15.0,15.0,100.0,14.97391128540039
2019-05-29,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-05-30,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-05-31,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-06-03,15.0,15.0,15.0,15.0,1800.0,14.97391128540039
2019-06-04,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-06-05,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-06-06,15.0,15.0,15.0,15.0,20000.0,14.97391128540039
2019-06-07,15.0,15.0,15.0,15.0,0.0,14.97391128540039
2019-06-10,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,2800.0,15.27338981628418
2019-06-11,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-12,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-13,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,200.0,15.27338981628418
2019-06-14,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-17,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-18,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-19,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-20,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-21,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
2019-06-24,15.300000190734863,15.300000190734863,15.300000190734863,15.300000190734863,0.0,15.27338981628418
